,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
357,bavleny,56.4,39.56,42.19,62,96,10.58,RU,overcast clouds
358,leningradskiy,69.3833,178.4167,37.96,90,67,1.9,RU,broken clouds
359,san francisco,37.7749,-122.4194,95.14,61,20,8.01,US,few clouds
360,sri aman,1.2376,111.4621,72.95,97,59,1.05,MY,broken clouds
361,bosaso,11.2842,49.1816,87.08,57,6,1.97,SO,clear sky
362,berlevag,70.8578,29.0864,41.9,95,100,22.82,NO,overcast clouds
363,salalah,17.0151,54.0924,82.49,89,40,8.05,OM,scattered clouds
364,ulaanbaatar,47.9077,106.8832,33.93,80,40,5.06,MN,scattered clouds
365,poum,-20.2333,164.0167,72.54,63,69,18.14,NC,broken clouds
366,minot,48.2325,-101.2963,73.11,28,71,17.65,US,broken clouds
367,petropavlovsk-kamchatskiy,53.0452,158.6483,41.59,75,75,6.73,RU,broken clouds
368,geraldton,-28.7667,114.6,55.81,100,90,18.43,AU,overcast clouds
369,saldanha,-33.0117,17.9442,57.88,78,100,6.46,ZA,overcast clouds
370,karpathos,35.507,27.2132,67.98,77,7,8.08,GR,clear sky
371,iralaya,15.0,-83.2333,87.89,70,48,10.98,HN,scattered clouds
372,constitucion,-35.3333,-72.4167,55.83,71,100,9.19,CL,overcast clouds
373,mongo,12.1844,18.693,91.27,14,1,3.91,TD,clear sky
374,biak,-0.9131,122.8766,75.92,86,97,4.7,ID,overcast clouds
375,payo,-3.7508,103.6372,72.16,98,74,1.72,ID,moderate rain
376,qaqortoq,60.7167,-46.0333,50.5,70,0,6.82,GL,clear sky
377,daru,-9.0763,143.2092,79.45,76,79,14.2,PG,broken clouds
378,oistins,13.0667,-59.5333,80.69,65,40,21.85,BB,scattered clouds
379,gizo,-8.103,156.8419,81.95,76,90,4.41,SB,overcast clouds
380,sinnamary,5.3833,-52.95,78.26,86,67,8.48,GF,broken clouds
381,san cristobal,7.7669,-72.225,76.44,66,44,5.28,VE,scattered clouds
382,winnemucca,40.973,-117.7357,82.45,10,1,4.79,US,clear sky
383,tsaratanana,-16.7833,47.65,68.92,80,1,5.26,MG,clear sky
384,hofn,64.2539,-15.2082,46.35,100,100,16.08,IS,moderate rain
385,saint-leu,-21.15,55.2833,70.68,75,2,1.28,RE,clear sky
386,sakaiminato,35.55,133.2333,57.13,63,0,5.14,JP,clear sky
387,matay,28.419,30.7792,88.61,14,0,4.74,EG,clear sky
388,ploemeur,47.7333,-3.4333,64.81,76,0,8.05,FR,clear sky
389,ust-maya,60.4167,134.5333,55.53,60,100,7.65,RU,overcast clouds
390,yumen,40.2833,97.2,54.86,14,23,8.86,CN,few clouds
391,manmad,20.25,74.45,79.61,74,49,11.18,IN,scattered clouds
392,goderich,43.7501,-81.7165,66.2,69,6,9.44,CA,clear sky
393,kuala terengganu,5.3302,103.1408,79.43,87,35,4.65,MY,scattered clouds
394,pochutla,15.7432,-96.4661,85.05,58,71,8.41,MX,broken clouds
395,saint-augustin,51.226,-58.6502,56.08,48,2,16.69,CA,clear sky
396,roma,43.2128,-75.4557,53.74,85,90,0.0,US,overcast clouds
397,mahibadhoo,3.7833,72.9667,83.59,70,82,20.78,MV,broken clouds
398,gladstone,-23.85,151.25,63.79,63,0,5.75,AU,clear sky
399,nove hrady,48.7896,14.7784,45.79,87,17,0.87,CZ,few clouds
400,kupang,-10.1667,123.5833,75.78,78,20,5.75,ID,few clouds
401,moose factory,51.2585,-80.6094,75.72,20,10,10.25,CA,clear sky
402,zhigansk,66.7697,123.3711,51.46,53,4,11.39,RU,clear sky
403,buraydah,26.326,43.975,89.89,12,7,5.57,SA,clear sky
404,corner brook,48.9667,-57.9484,55.13,54,63,2.1,CA,broken clouds
405,norsup,-16.0667,167.3833,73.17,81,100,5.14,VU,overcast clouds
406,tura,25.5198,90.2201,73.47,95,83,4.0,IN,heavy intensity rain
407,linqiong,30.4159,103.4609,71.42,71,100,1.3,CN,overcast clouds
408,san ramon,37.7799,-121.978,93.49,33,1,7.0,US,clear sky
409,finschhafen,-6.6024,147.8681,80.8,76,100,9.78,PG,overcast clouds
410,aklavik,68.2191,-135.0107,47.79,51,98,13.67,CA,overcast clouds
411,isangel,-19.55,169.2667,77.11,73,75,7.43,VU,broken clouds
412,brae,60.3964,-1.353,46.31,95,27,9.22,GB,scattered clouds
413,sulangan,11.1373,123.7228,83.84,71,81,2.3,PH,broken clouds
414,korla,41.7597,86.1469,73.62,23,5,7.0,CN,clear sky
415,fallon,39.4735,-118.7774,87.67,8,40,9.22,US,scattered clouds
416,onega,63.9061,38.1404,38.77,70,56,5.5,RU,broken clouds
417,arawa,-6.2132,155.5367,81.23,83,47,2.59,PG,light rain
418,nurota,40.5614,65.6886,78.89,18,0,7.52,UZ,clear sky
419,shenzhen,22.5455,114.0683,86.27,92,100,7.16,CN,overcast clouds
420,ribas do rio pardo,-20.4431,-53.7592,77.52,45,52,5.5,BR,broken clouds
421,umm lajj,25.0213,37.2685,87.85,41,75,4.63,SA,broken clouds
422,muyezerskiy,63.9333,31.65,45.63,64,95,9.82,RU,overcast clouds
423,jumla,29.2747,82.1838,56.17,84,58,2.04,NP,broken clouds
424,kiunga,-6.1219,141.2906,74.53,92,100,3.24,PG,overcast clouds
425,yarensk,62.1675,49.0916,30.76,86,13,3.87,RU,few clouds
426,vitry-le-francois,48.7333,4.5833,60.93,82,0,8.25,FR,clear sky
427,santa isabel,-23.3156,-46.2214,64.65,97,59,4.43,BR,broken clouds
428,coos bay,43.3665,-124.2179,86.85,66,1,16.11,US,clear sky
429,belokurikha,51.9959,84.9896,50.9,62,8,5.73,RU,clear sky
430,balabac,7.9868,117.0645,82.15,76,100,4.68,PH,overcast clouds
431,souillac,-20.5167,57.5167,72.36,87,9,7.09,MU,clear sky
432,awjilah,29.1081,21.2869,83.82,23,0,13.04,LY,clear sky
433,kasongo,-4.45,26.6667,71.69,57,86,3.0,CD,overcast clouds
434,dawson creek,55.7666,-120.2362,67.06,46,99,15.14,CA,overcast clouds
435,port arthur,38.8,121.2667,59.22,80,10,10.27,CN,light rain
436,kenai,60.5544,-151.2583,62.02,56,90,13.8,US,overcast clouds
437,dudinka,69.4058,86.1778,34.02,98,100,15.93,RU,overcast clouds
438,nizhniy kuranakh,58.8353,125.4869,56.88,64,55,4.59,RU,broken clouds
439,timbiqui,2.7717,-77.6654,79.97,81,73,5.23,CO,light rain
440,tyup,42.7276,78.3648,56.35,64,94,3.51,KG,overcast clouds
441,clermont,49.5,2.4167,61.72,82,0,6.85,FR,clear sky
442,bom jesus,-9.0744,-44.3586,78.58,37,82,4.09,BR,broken clouds
443,oriximina,-1.7656,-55.8661,81.43,70,83,3.18,BR,broken clouds
444,baltiysk,54.6538,19.911,48.18,84,14,9.48,RU,few clouds
445,gazanjyk,39.2446,55.5154,83.73,29,12,6.49,TM,few clouds
446,coihaique,-45.5752,-72.0662,45.21,87,40,3.44,CL,light rain
447,montepuez,-13.1256,38.9997,65.55,87,66,3.53,MZ,broken clouds
448,san carlos de bariloche,-41.1456,-71.3082,47.95,71,75,14.61,AR,broken clouds
449,marawi,7.9986,124.2928,67.64,95,100,2.91,PH,overcast clouds
450,panguna,-6.3164,155.4848,74.5,83,51,1.81,PG,light rain
451,the valley,18.217,-63.0578,82.81,83,20,3.44,AI,few clouds
452,okato,-39.2,173.8833,47.68,79,92,6.04,NZ,overcast clouds
453,ranong,9.9658,98.6348,79.54,88,99,7.0,TH,overcast clouds
454,boke,10.9409,-14.2967,77.36,75,58,5.46,GN,broken clouds
455,jackson,42.4165,-122.8345,88.39,27,1,4.61,US,clear sky
456,viedma,-40.8135,-62.9967,54.52,49,100,20.11,AR,light rain
457,angoche,-16.2325,39.9086,73.87,76,0,5.59,MZ,clear sky
458,grindavik,63.8424,-22.4338,45.55,81,20,16.64,IS,few clouds
459,barstow,34.8986,-117.0228,97.16,10,0,12.17,US,clear sky
460,parana,-31.732,-60.5238,58.51,58,0,3.78,AR,clear sky
461,porbandar,21.6422,69.6093,82.92,78,97,12.66,IN,overcast clouds
462,maarianhamina,60.0973,19.9348,48.06,76,0,6.91,AX,clear sky
463,aksu,41.1231,80.2644,77.25,25,97,7.83,CN,overcast clouds
464,slonim,53.0867,25.3219,44.65,83,51,5.99,BY,broken clouds
465,fortuna,40.5982,-124.1573,86.18,71,97,3.0,US,overcast clouds
466,tromso,69.6496,18.957,45.25,93,75,3.0,NO,broken clouds
467,henties bay,-22.116,14.2845,58.48,88,5,5.97,NA,clear sky
468,talnakh,69.4865,88.3972,36.95,97,100,19.91,RU,moderate rain
469,sfantu gheorghe,45.8667,25.7833,52.93,83,97,1.99,RO,overcast clouds
470,bend,44.0582,-121.3153,78.22,21,1,5.01,US,clear sky
471,pangnirtung,66.1451,-65.7125,34.72,99,100,4.81,CA,light rain
472,sabha,27.0377,14.4283,88.66,16,1,15.14,LY,clear sky
473,adelaide,-34.9333,138.6,53.29,55,0,1.01,AU,clear sky
474,acaponeta,22.4964,-105.3594,95.97,34,7,12.39,MX,clear sky
475,hualmay,-11.0964,-77.6139,67.41,82,62,9.69,PE,broken clouds
476,teguldet,57.3064,88.1667,38.59,66,86,4.72,RU,overcast clouds
477,praya,14.9215,-23.5087,73.94,73,0,16.11,CV,clear sky
478,chimoio,-19.1164,33.4833,56.68,66,0,2.64,MZ,clear sky
479,nalut,30.3333,10.85,81.88,28,43,14.88,LY,scattered clouds
480,oktyabrskiy,54.4815,53.471,47.98,93,80,9.91,RU,broken clouds
481,hay river,60.8156,-115.7999,46.26,57,100,8.3,CA,overcast clouds
482,port blair,11.6667,92.75,81.23,83,100,4.45,IN,overcast clouds
483,monroe,43.1501,-77.6831,64.33,57,75,8.05,US,broken clouds
484,port-cartier,50.0334,-66.8654,58.93,49,36,7.18,CA,scattered clouds
485,lengshuitan,26.4111,111.5956,70.99,98,99,0.92,CN,overcast clouds
486,tripoli,32.8752,13.1875,70.84,70,5,9.57,LY,clear sky
487,muli,2.9167,73.5667,83.16,73,24,20.87,MV,few clouds
488,atar,20.5169,-13.0499,91.74,25,81,12.33,MR,broken clouds
489,honningsvag,70.9821,25.9704,42.28,95,100,25.86,NO,overcast clouds
490,kununurra,-15.7667,128.7333,64.38,52,72,3.44,AU,broken clouds
491,ziarat,30.3823,67.7282,66.72,16,11,5.82,PK,few clouds
492,oyama,36.3,139.8,70.03,61,8,1.23,JP,clear sky
493,olinda,-8.0089,-34.8553,73.13,94,75,8.52,BR,broken clouds
494,rincon,32.296,-81.2354,80.78,58,75,1.99,US,broken clouds
495,trat,12.5,102.5,81.79,88,51,2.04,TH,broken clouds
496,san andres,12.5847,-81.7006,81.91,76,8,14.03,CO,clear sky
497,rosarito,32.3333,-117.0333,76.62,68,9,9.46,MX,clear sky
498,kitui,-1.367,38.0106,63.1,81,96,5.91,KE,overcast clouds
499,sao jose da coroa grande,-8.8978,-35.1478,75.7,88,70,7.23,BR,light rain
500,santa rosa,14.3122,121.1114,82.38,87,95,2.82,PH,overcast clouds
501,charters towers,-20.1,146.2667,61.74,83,16,11.05,AU,few clouds
502,lompoc,34.6391,-120.4579,85.01,73,1,13.8,US,clear sky
503,thaton,16.9206,97.3714,77.7,92,99,3.56,MM,overcast clouds
504,sabang,5.8933,95.3214,83.32,72,98,20.56,ID,overcast clouds
505,pio ix,-6.8375,-40.5792,74.79,44,19,5.61,BR,few clouds
506,nueva loja,0.0847,-76.8828,78.26,85,79,1.25,EC,broken clouds
507,nanzhang,31.7765,111.8386,71.22,89,89,1.79,CN,overcast clouds
508,esso,55.9333,158.7,43.56,75,59,5.06,RU,broken clouds
509,strezhevoy,60.7333,77.5889,58.98,70,89,10.07,RU,overcast clouds
510,gillette,44.2911,-105.5022,69.69,26,1,4.61,US,clear sky
511,colac,-38.3333,143.5833,43.83,76,4,2.66,AU,clear sky
512,valdivia,-39.8142,-73.2459,51.89,98,100,6.76,CL,overcast clouds
513,inhambane,-23.865,35.3833,69.28,81,29,11.45,MZ,scattered clouds
514,yashkul,46.1711,45.3435,63.73,85,36,12.5,RU,scattered clouds
515,tessalit,20.1986,1.0114,96.19,8,99,6.38,ML,overcast clouds
516,kahului,20.8947,-156.47,84.22,65,40,13.8,US,scattered clouds
517,bahia blanca,-38.7196,-62.2724,53.24,47,86,14.54,AR,moderate rain
518,mosquera,4.7059,-74.2302,57.29,100,75,2.3,CO,broken clouds
519,okitipupa,6.5047,4.7839,76.96,96,87,4.83,NG,overcast clouds
520,salekhard,66.53,66.6019,34.54,70,10,16.4,RU,clear sky
521,juneau,58.3019,-134.4197,52.21,94,90,4.0,US,light rain
522,olkusz,50.2813,19.565,51.71,85,85,5.86,PL,overcast clouds
523,glendive,47.1053,-104.7125,73.69,24,40,9.22,US,scattered clouds
524,kapoeta,4.7717,33.5903,80.55,42,12,9.69,SS,few clouds
525,devils lake,48.1128,-98.8651,73.38,20,20,18.01,US,few clouds
526,inirida,3.8653,-67.9239,77.52,86,94,1.86,CO,overcast clouds
527,porto novo,6.4965,2.6036,82.45,79,90,9.15,BJ,overcast clouds
528,soubre,5.7856,-6.6083,74.37,96,43,3.44,CI,scattered clouds
529,mana,5.6592,-53.7767,77.61,88,97,8.93,GF,overcast clouds
530,paamiut,61.994,-49.6678,35.15,90,37,20.04,GL,scattered clouds
531,choya,52.0108,86.5467,44.69,80,19,4.21,RU,few clouds
532,kinablangan,7.6947,126.5503,75.63,92,100,4.85,PH,light rain
533,sakti,22.0333,82.9667,89.29,42,49,4.65,IN,scattered clouds
534,yar-sale,66.8333,70.8333,35.37,69,6,12.91,RU,clear sky
535,fenoarivo atsinanana,-17.3667,49.4167,69.73,89,17,4.65,MG,few clouds
536,plettenberg bay,-34.0527,23.3716,56.97,64,92,5.7,ZA,overcast clouds
537,gasa,31.5,34.4667,74.91,51,28,3.18,PS,scattered clouds
538,xapuri,-10.6517,-68.5044,80.28,71,70,3.62,BR,broken clouds
539,lancaster,40.2504,-76.2499,52.83,70,100,3.0,US,overcast clouds
540,sambava,-14.2667,50.1667,72.48,89,29,6.8,MG,scattered clouds
541,oeiras do para,-2.0031,-49.8544,81.1,76,60,3.49,BR,broken clouds
542,yerbogachen,61.2767,108.0108,47.05,76,99,6.46,RU,overcast clouds
543,bull savanna,17.8868,-77.5902,80.8,70,58,12.08,JM,broken clouds
544,toamasina,-18.1667,49.3833,71.38,85,2,4.79,MG,clear sky
545,bud,39.447,-86.1758,71.55,39,0,5.14,US,clear sky
546,stromness,58.965,-3.296,48.45,93,0,14.29,GB,clear sky
547,san policarpo,12.1791,125.5072,79.59,85,89,3.31,PH,overcast clouds
548,santa ana,33.7456,-117.8678,87.15,64,20,7.0,US,few clouds
549,bambous virieux,-20.3428,57.7575,72.21,83,28,8.59,MU,light rain
550,sinegorye,62.0788,150.477,44.26,68,96,4.03,RU,overcast clouds
551,ifanadiana,-21.3,47.6333,62.2,97,9,3.49,MG,clear sky
552,vila,42.0304,-8.1588,59.88,72,39,2.48,PT,scattered clouds
553,torres,-29.3353,-49.7269,53.76,68,14,5.06,BR,few clouds
554,abadiania,-16.2042,-48.7069,71.37,51,45,3.0,BR,scattered clouds
555,magway,20.15,94.9167,81.81,77,82,9.31,MM,broken clouds
556,sinop,41.7711,34.8709,56.86,89,5,7.85,TR,clear sky
557,beloha,-25.1667,45.05,65.26,82,27,5.14,MG,scattered clouds
558,karakol,42.4907,78.3936,56.39,61,99,5.21,KG,overcast clouds
559,quatre cocos,-20.2078,57.7625,72.09,83,40,7.99,MU,light rain
560,bayangol,50.6977,103.4656,28.42,92,98,2.33,RU,overcast clouds
561,karratha,-20.7377,116.8463,66.34,71,8,11.14,AU,clear sky
562,yuzhno-kurilsk,44.0306,145.8556,39.88,90,92,25.7,RU,overcast clouds
563,ayagoz,47.9714,80.4392,53.17,49,16,9.17,KZ,few clouds
564,sirsi,14.6167,74.85,70.21,97,100,1.92,IN,overcast clouds
565,kiama,-34.6833,150.8667,54.0,84,0,1.99,AU,clear sky
566,kamaishi,39.2667,141.8833,59.67,64,4,3.13,JP,clear sky
567,rio gallegos,-51.6226,-69.2181,33.85,75,75,9.22,AR,broken clouds
568,acajutla,13.5928,-89.8275,89.8,70,75,3.74,SV,broken clouds
569,banamba,13.55,-7.45,96.37,25,48,5.3,ML,scattered clouds
570,troitsko-pechorsk,62.7084,56.1964,34.02,74,11,5.68,RU,few clouds
571,solnechnyy,50.7214,136.6319,52.56,65,86,2.73,RU,overcast clouds
572,wilmington island,32.0036,-80.9737,79.03,58,75,1.01,US,broken clouds
573,shumskiy,54.8318,99.1328,36.79,99,100,2.51,RU,light rain
574,kibre mengist,5.8833,38.9833,54.09,94,73,1.81,ET,broken clouds
575,macamic,48.7502,-78.9996,65.43,43,1,6.38,CA,clear sky
576,walvis bay,-22.9575,14.5053,60.51,76,4,6.42,NA,clear sky
577,ekibastuz,51.6667,75.3667,65.66,29,75,14.52,KZ,broken clouds
578,sibu,2.3,111.8167,73.04,93,74,0.87,MY,broken clouds
579,rancho palos verdes,33.7445,-118.387,83.35,75,40,1.01,US,scattered clouds
580,kharitonovo,61.4009,47.4978,31.71,83,7,3.83,RU,clear sky
581,lufilufi,-13.8745,-171.5986,89.38,73,32,17.47,WS,scattered clouds
582,devarkonda,16.7,78.9333,84.38,57,93,16.71,IN,overcast clouds
583,washington,47.5001,-120.5015,82.89,21,100,5.59,US,overcast clouds
584,azangaro,-14.9167,-70.2167,50.76,35,57,5.86,PE,broken clouds
585,nabire,-3.3667,135.4833,76.68,93,99,2.24,ID,overcast clouds
586,jinchang,38.4953,102.1739,63.99,39,99,18.57,CN,overcast clouds
587,alta floresta,-9.8756,-56.0861,75.36,68,24,4.14,BR,few clouds
588,hammerfest,70.6634,23.6821,43.25,93,75,18.41,NO,broken clouds
589,omboue,-1.5746,9.2618,76.68,91,97,8.12,GA,overcast clouds
590,puerto colombia,10.9878,-74.9547,82.49,76,42,18.41,CO,scattered clouds
591,tarrafal,15.2833,-23.7667,74.19,85,68,13.0,CV,broken clouds
592,mackay,-21.15,149.2,66.69,77,62,13.78,AU,broken clouds
593,santa helena,-2.2311,-45.3,76.32,89,53,3.62,BR,broken clouds
594,shushtar,32.0455,48.8567,92.14,10,0,5.86,IR,clear sky
595,alofi,-19.0595,-169.9187,80.44,78,61,12.93,NU,light rain
596,camacha,33.0833,-16.3333,62.02,63,20,12.66,PT,few clouds
597,rovaniemi,66.5,25.7167,49.41,61,0,4.61,FI,clear sky
598,uray,60.1247,64.7758,44.04,90,100,11.74,RU,light rain
599,brekstad,63.687,9.6654,51.57,81,75,5.75,NO,broken clouds
600,belyy yar,53.6039,91.3903,42.69,87,0,1.9,RU,clear sky
601,pemba,-12.974,40.5178,74.1,94,75,4.61,MZ,broken clouds
602,rakai,-0.72,31.4839,60.98,90,42,3.33,UG,scattered clouds
603,brumado,-14.2036,-41.6653,74.98,46,30,4.21,BR,scattered clouds
604,longyan,25.1072,117.0225,72.64,99,100,2.04,CN,overcast clouds
605,san quintin,30.4833,-115.95,64.89,63,78,15.08,MX,broken clouds
606,bushehr,28.9684,50.8385,87.89,51,0,6.91,IR,clear sky
607,privas,44.5833,4.5,60.53,87,87,2.68,FR,overcast clouds
608,anzio,41.4853,12.6179,65.35,88,14,3.29,IT,few clouds
609,kutum,14.2,24.6667,86.16,19,92,7.05,SD,overcast clouds
610,manakara,-22.1333,48.0167,69.39,93,4,6.98,MG,clear sky
611,gelemso,8.8167,40.5167,62.58,59,42,5.68,ET,scattered clouds
612,morgan city,29.6994,-91.2068,84.0,61,75,4.79,US,broken clouds
613,westport,41.1415,-73.3579,51.94,93,90,1.01,US,overcast clouds
614,inuvik,68.3499,-133.7218,48.51,48,58,12.77,CA,broken clouds
615,moorhead,46.8739,-96.7676,75.07,37,90,10.36,US,overcast clouds
616,yershichi,53.6725,32.7542,44.13,77,100,4.99,RU,overcast clouds
617,pringsewu,-5.3582,104.9744,72.77,97,71,2.77,ID,broken clouds
618,sumbe,-11.2061,13.8437,74.88,87,5,7.96,AO,clear sky
619,gari,59.4307,62.3497,43.43,92,100,9.08,RU,light rain
620,warrnambool,-38.3833,142.4833,39.81,62,5,7.9,AU,clear sky
621,padang,-0.9492,100.3543,75.02,96,97,3.69,ID,overcast clouds
622,faya,18.3851,42.4509,66.72,24,5,4.83,SA,clear sky
623,ipameri,-17.7219,-48.1597,76.44,44,84,3.09,BR,broken clouds
624,svetlyy,54.675,20.1347,50.05,88,20,6.82,RU,few clouds
625,general roca,-39.0333,-67.5833,63.0,42,99,25.52,AR,overcast clouds
626,banda aceh,5.5577,95.3222,79.95,73,69,13.44,ID,broken clouds
627,nioro,13.35,-15.75,77.31,64,80,12.33,GM,broken clouds
628,ewa beach,21.3156,-158.0072,85.37,61,40,8.05,US,scattered clouds
629,takoradi,4.8845,-1.7554,79.72,86,84,7.83,GH,light rain
630,obsharovka,53.125,48.8531,51.58,92,100,13.65,RU,heavy intensity rain
631,santa isabel do rio negro,-0.4139,-65.0192,76.78,96,63,2.51,BR,broken clouds
632,nantucket,41.2835,-70.0995,52.07,95,90,13.8,US,moderate rain
633,mawlaik,23.6333,94.4167,78.46,79,9,0.13,MM,clear sky
634,agapia,47.1667,26.2833,50.68,91,71,1.86,RO,broken clouds
635,methoni,36.8197,21.7049,69.22,80,4,11.52,GR,clear sky
636,grand forks,47.9417,-97.4337,76.93,16,75,18.41,US,broken clouds
637,mombetsu,44.3525,143.3525,39.61,93,100,15.52,JP,overcast clouds
638,sept-iles,50.2001,-66.3821,59.25,50,25,1.01,CA,scattered clouds
639,guisa,20.255,-76.5386,75.51,69,52,1.32,CU,broken clouds
640,ndende,-2.4008,11.3581,73.26,98,100,2.48,GA,moderate rain
641,cerrito,6.8432,-72.694,58.39,90,96,3.78,CO,overcast clouds
642,qingdao,36.0986,120.3719,63.14,88,20,7.94,CN,few clouds
643,puerto suarez,-18.95,-57.8,75.56,88,100,4.61,BO,overcast clouds
644,buala,-8.145,159.5921,81.7,80,76,5.01,SB,broken clouds
645,morehead,37.2711,-87.1764,71.94,37,1,6.91,US,clear sky
646,doha,25.2867,51.5333,94.98,29,0,6.91,QA,clear sky
647,shakiso,5.75,38.9167,54.91,95,60,1.41,ET,broken clouds
648,kanniyakumari,8.0833,77.5667,80.44,83,87,20.18,IN,overcast clouds
649,keuruu,62.2667,24.7,48.38,73,87,4.7,FI,overcast clouds
650,bowen,-20.0167,148.2333,68.61,79,79,14.81,AU,broken clouds
651,padampur,29.6833,73.6167,90.99,28,1,6.33,IN,clear sky
652,puerto madryn,-42.7692,-65.0385,51.67,76,100,5.48,AR,light rain
653,clonakilty,51.6231,-8.8706,52.81,86,4,4.72,IE,clear sky
654,santander jimenez,24.2167,-98.4667,90.95,46,83,20.67,MX,broken clouds
655,novikovo,51.1537,37.8879,50.04,93,100,7.31,RU,overcast clouds
656,nishihara,26.1842,127.7558,75.25,94,90,19.8,JP,moderate rain
657,alyangula,-13.8483,136.4192,74.34,81,98,8.99,AU,overcast clouds
658,abha,18.2164,42.5053,66.45,56,0,3.29,SA,clear sky
659,kalmunai,7.4167,81.8167,80.35,80,71,4.63,LK,broken clouds
660,hervey bay,-25.2986,152.8535,65.03,79,10,4.0,AU,clear sky
661,launceston,-41.45,147.1667,38.16,100,13,1.1,AU,few clouds
662,zemio,5.0314,25.1361,72.88,76,24,1.68,CF,few clouds
663,bathsheba,13.2167,-59.5167,81.21,65,40,18.43,BB,scattered clouds
664,deputatskiy,69.3,139.9,52.18,51,34,10.0,RU,scattered clouds
665,caxito,-8.5785,13.6643,77.65,97,49,3.67,AO,scattered clouds
666,port hedland,-20.3167,118.5667,69.85,78,75,6.91,AU,broken clouds
667,zistersdorf,48.5333,16.75,53.82,68,8,6.73,AT,clear sky
668,shirokiy,49.758,129.523,52.27,83,70,12.37,RU,broken clouds
669,douglas,41.3,-96.167,63.46,69,75,4.94,US,broken clouds
670,rosita,13.9268,-84.4032,91.42,39,66,6.76,NI,broken clouds
671,sao felix do xingu,-6.6447,-51.995,76.5,67,34,3.33,BR,scattered clouds
672,bath,51.3779,-2.3591,57.76,73,100,5.39,GB,overcast clouds
673,kirando,-7.4167,30.6,71.69,60,7,5.57,TZ,clear sky
674,portland,45.5234,-122.6762,84.61,38,75,1.01,US,broken clouds
675,belmonte,-15.8631,-38.8828,79.3,80,8,7.18,BR,clear sky
