City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,kuala terengganu,MY,79.43,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
400,kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
401,moose factory,CA,75.72,clear sky,51.2585,-80.6094,Moosonee Lilypad
405,norsup,VU,73.17,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
406,tura,IN,73.47,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
407,linqiong,CN,71.42,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
411,isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
414,korla,CN,73.62,clear sky,41.7597,86.1469,Gulisitan Hotel
418,nurota,UZ,78.89,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
420,ribas do rio pardo,BR,77.52,broken clouds,-20.4431,-53.7592,Pousada Avenida
424,kiunga,PG,74.53,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
431,souillac,MU,72.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
433,kasongo,CD,71.69,overcast clouds,-4.45,26.6667,Guest Hôtel
439,timbiqui,CO,79.97,light rain,2.7717,-77.6654,hotel diana
442,bom jesus,BR,78.58,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
453,ranong,TH,79.54,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
454,boke,GN,77.36,broken clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
457,angoche,MZ,73.87,clear sky,-16.2325,39.9086,Guest House HESADA
463,aksu,CN,77.25,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
470,bend,US,78.22,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
477,praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
485,lengshuitan,CN,70.99,overcast clouds,26.4111,111.5956,Jialong Hotel
486,tripoli,LY,70.84,clear sky,32.8752,13.1875,Hotel Al-Safwa
492,oyama,JP,70.03,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
493,olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
497,rosarito,MX,76.62,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
499,sao jose da coroa grande,BR,75.7,light rain,-8.8978,-35.1478,Crôa Mares Hotel
503,thaton,MM,77.7,overcast clouds,16.9206,97.3714,Tain Pyar Guest House
505,pio ix,BR,74.79,few clouds,-6.8375,-40.5792,Hotel Central
506,nueva loja,EC,78.26,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
507,nanzhang,CN,71.22,overcast clouds,31.7765,111.8386,Longmenkezhan
519,okitipupa,NG,76.96,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
523,glendive,US,73.69,scattered clouds,47.1053,-104.7125,Baymont by Wyndham Glendive
525,devils lake,US,73.38,few clouds,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
526,inirida,CO,77.52,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
528,soubre,CI,74.37,scattered clouds,5.7856,-6.6083,Lynd Hotels Soubre
529,mana,GF,77.61,overcast clouds,5.6592,-53.7767,LE SAMANA
532,kinablangan,PH,75.63,light rain,7.6947,126.5503,Danny Moreno Property
537,gasa,PS,74.91,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
540,sambava,MG,72.48,scattered clouds,-14.2667,50.1667,Melrose
544,toamasina,MG,71.38,clear sky,-18.1667,49.3833,Hotel H1
545,bud,US,71.55,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
547,san policarpo,PH,79.59,overcast clouds,12.1791,125.5072,JM Lodge
549,bambous virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
554,abadiania,BR,71.37,scattered clouds,-16.2042,-48.7069,Pousada Lírio D'Água
559,quatre cocos,MU,72.09,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
564,sirsi,IN,70.21,overcast clouds,14.6167,74.85,Tripvillas @ Sapna Yatri Nivas
572,wilmington island,US,79.03,broken clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
578,sibu,MY,73.04,broken clouds,2.3,111.8167,RH HOTEL (4 Star)
585,nabire,ID,76.68,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
587,alta floresta,BR,75.36,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
589,omboue,GA,76.68,overcast clouds,-1.5746,9.2618,Hotel Olako
591,tarrafal,CV,74.19,broken clouds,15.2833,-23.7667,Hotel Ixola
593,santa helena,BR,76.32,broken clouds,-2.2311,-45.3,Turi Plaza Hotel
601,pemba,MZ,74.1,broken clouds,-12.974,40.5178,Guesthouse Samotina
